url,mmyy,stamp
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-august-2008.html,AUGUST_2008,2008-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2008/visa-bulletin-for-september-2008.html,SEPTEMBER_2008,2008-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-october-2008.html,OCTOBER_2008,2008-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-november-2008.html,NOVEMBER_2008,2008-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-december-2008.html,DECEMBER_2008,2008-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-january-2009.html,JANUARY_2009,2009-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-february-2009.html,FEBRUARY_2009,2009-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-march-2009.html,MARCH_2009,2009-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-april-2009.html,APRIL_2009,2009-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-may-2009.html,MAY_2009,2009-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-june-2009.html,JUNE_2009,2009-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-july-2009.html,JULY_2009,2009-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-for-august-2009.html,AUGUST_2009,2009-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2009/visa-bulletin-september-2009.html,SEPTEMBER_2009,2009-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-october-2009.html,OCTOBER_2009,2009-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-november-2009.html,NOVEMBER_2009,2009-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-december-2009.html,DECEMBER_2009,2009-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-january-2010.html,JANUARY_2010,2010-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-february-2010.html,FEBRUARY_2010,2010-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-march-2010.html,MARCH_2010,2010-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-april-2010.html,APRIL_2010,2010-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-may-2010.html,MAY_2010,2010-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-june-2010.html,JUNE_2010,2010-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-july-2010.html,JULY_2010,2010-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-august-2010.html,AUGUST_2010,2010-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2010/visa-bulletin-for-september-2010.html,SEPTEMBER_2010,2010-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-october-2010.html,OCTOBER_2010,2010-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-november-2010.html,NOVEMBER_2010,2010-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-december-2010.html,DECEMBER_2010,2010-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-january-2011.html,JANUARY_2011,2011-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-february-2011.html,FEBRUARY_2011,2011-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-march-2011.html,MARCH_2011,2011-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-april-2011.html,APRIL_2011,2011-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-may-2011.html,MAY_2011,2011-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-june-2011.html,JUNE_2011,2011-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-july-2011.html,JULY_2011,2011-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-august-2011.html,AUGUST_2011,2011-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2011/visa-bulletin-for-september-2011.html,SEPTEMBER_2011,2011-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-october-2011.html,OCTOBER_2011,2011-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-november-2011.html,NOVEMBER_2011,2011-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-december-2011.html,DECEMBER_2011,2011-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-january-2012.html,JANUARY_2012,2012-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-february-2012.html,FEBRUARY_2012,2012-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-march-2012.html,MARCH_2012,2012-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-april-2012.html,APRIL_2012,2012-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-may-2012.html,MAY_2012,2012-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-june-2012.html,JUNE_2012,2012-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-july-2012.html,JULY_2012,2012-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-august-2012.html,AUGUST_2012,2012-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2012/visa-bulletin-for-september-2012.html,SEPTEMBER_2012,2012-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-october-2012.html,OCTOBER_2012,2012-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-november-2012.html,NOVEMBER_2012,2012-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-december-2012.html,DECEMBER_2012,2012-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-january-2013.html,JANUARY_2013,2013-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-february-2013.html,FEBRUARY_2013,2013-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-march-2013.html,MARCH_2013,2013-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-april-2013.html,APRIL_2013,2013-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-may-2013.html,MAY_2013,2013-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-june-2013.html,JUNE_2013,2013-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-july-2013.html,JULY_2013,2013-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-august-2013.html,AUGUST_2013,2013-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-september-2013.html,SEPTEMBER_2013,2013-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-october-2013.html,OCTOBER_2013,2013-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-november-2013.html,NOVEMBER_2013,2013-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-december-2013.html,DECEMBER_2013,2013-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-january-2014.html,JANUARY_2014,2014-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-february-2014.html,FEBRUARY_2014,2014-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-march-2014.html,MARCH_2014,2014-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-april-2014.html,APRIL_2014,2014-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-may-2014.html,MAY_2014,2014-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-june-2014.html,JUNE_2014,2014-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-july-2014.html,JULY_2014,2014-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-august-2014.html,AUGUST_2014,2014-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-september-2014.html,SEPTEMBER_2014,2014-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-october-2014.html,OCTOBER_2014,2014-10-01
