url,year,month,stamp
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-april-2013.html,2013,APRIL,2013-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-may-2013.html,2013,MAY,2013-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-june-2013.html,2013,JUNE,2013-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-july-2013.html,2013,JULY,2013-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-august-2013.html,2013,AUGUST,2013-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2013/visa-bulletin-for-september-2013.html,2013,SEPTEMBER,2013-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-october-2013.html,2013,OCTOBER,2013-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-november-2013.html,2013,NOVEMBER,2013-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-december-2013.html,2013,DECEMBER,2013-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-january-2014.html,2014,JANUARY,2014-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-february-2014.html,2014,FEBRUARY,2014-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-march-2014.html,2014,MARCH,2014-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-april-2014.html,2014,APRIL,2014-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-may-2014.html,2014,MAY,2014-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-june-2014.html,2014,JUNE,2014-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-july-2014.html,2014,JULY,2014-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-august-2014.html,2014,AUGUST,2014-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2014/visa-bulletin-for-september-2014.html,2014,SEPTEMBER,2014-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-october-2014.html,2014,OCTOBER,2014-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-november-2014.html,2014,NOVEMBER,2014-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-december-2014.html,2014,DECEMBER,2014-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-january-2015.html,2015,JANUARY,2015-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-february-2015.html,2015,FEBRUARY,2015-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-march-2015.html,2015,MARCH,2015-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-april-2015.html,2015,APRIL,2015-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-may-2015.html,2015,MAY,2015-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-june-2015.html,2015,JUNE,2015-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-july-2015.html,2015,JULY,2015-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-august-2015.html,2015,AUGUST,2015-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2015/visa-bulletin-for-september-2015.html,2015,SEPTEMBER,2015-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-october-2015.html,2015,OCTOBER,2015-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-november-2015.html,2015,NOVEMBER,2015-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-december-2015.html,2015,DECEMBER,2015-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-january-2016.html,2016,JANUARY,2016-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-february-2016.html,2016,FEBRUARY,2016-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-march-2016.html,2016,MARCH,2016-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-april-2016.html,2016,APRIL,2016-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-may-2016.html,2016,MAY,2016-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-june-2016.html,2016,JUNE,2016-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-july-2016.html,2016,JULY,2016-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-august-2016.html,2016,AUGUST,2016-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2016/visa-bulletin-for-september-2016.html,2016,SEPTEMBER,2016-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-october-2016.html,2016,OCTOBER,2016-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-november-2016.html,2016,NOVEMBER,2016-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-december-2016.html,2016,DECEMBER,2016-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-january-2017.html,2017,JANUARY,2017-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-february-2017.html,2017,FEBRUARY,2017-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-march-2017.html,2017,MARCH,2017-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-april-2017.html,2017,APRIL,2017-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-may-2017.html,2017,MAY,2017-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-june-2017.html,2017,JUNE,2017-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2017/visa-bulletin-for-july-2017.html,2017,JULY,2017-07-01
